Distance (m),Elevation (m)
980.2901696,213.2125397
990.7187885,213.2125397
1001.147407,218.2245331
1011.576026,222.8492737
1022.004645,225.2272034
1032.433264,242.0566254
1042.873183,226.9328461
1053.313102,222.3961639
1063.753021,221.0237885
1074.192941,213.8294678
1084.63286,211.2792816
1095.072779,209.5335693
1105.512698,210.0892487
1115.952618,211.260376
1126.392537,212.4911957
1136.832456,212.4911957
1147.272375,212.7766113
1157.712295,213.4369202
1168.152214,213.8596039
1178.592133,214.5666351
1189.032052,212.6343079
1199.471972,214.0686798
1209.911891,214.0686798
1220.35181,214.1900024
1230.791729,213.4225159
1241.231649,212.7630005
1251.671568,213.9322052
1262.111487,214.3353882
1272.551406,214.3353882
1282.991326,213.9979706
1293.431245,213.6172333
1303.871164,212.7014618
1314.311083,210.8093414
1324.751003,213.4259338
1335.190922,214.5903168
1345.630841,214.5903168
1356.07076,214.5553894
1366.510679,215.1004028
1376.950599,216.1289063
1387.390518,216.4298248
1397.830437,217.5324249
1408.270356,216.1957397
1418.710276,216.1957397
1429.150195,216.2574615
1439.590114,217.2165375
1450.030033,217.2571564
1460.469953,217.993454
1470.909872,215.9650116
1481.349791,215.9650116
1491.78971,216.0328674
1503.245292,215.5215607
1514.700873,216.5813751
1526.156454,216.0342102
1537.612035,216.0342102
1549.067616,216.6193085
1560.523198,217.1919098
1571.978779,217.5127411
1583.43436,217.1835175
1594.889941,218.0986481
1606.345523,218.0986481
1617.801104,218.1465454
1629.256685,218.4152985
1640.712266,217.166626
1652.167847,220.2655334
1663.623429,219.3414001
1675.07901,219.3414001
1686.534591,214.0972595
1697.990172,217.3518219
1709.445753,214.7049255
1720.901335,214.5530701
1732.356916,210.8139191
1743.812497,210.8139191
1755.268078,220.3031006
1766.723659,219.5388489
1778.179241,216.4585419
1789.634822,217.5281982
1801.090403,218.8348389
1812.545984,219.2545166
1824.001566,216.5485382
1835.457147,216.0084686
1846.912728,217.5236359
1858.368309,217.5236359
1869.82389,218.8035583
1881.279472,219.4662933
1892.735053,219.9875946
1904.190634,219.7277527
1915.646215,220.4470215
1927.101796,220.4470215
1938.557378,219.6846161
1950.012959,219.9305725
1961.46854,220.0973206
1972.924121,219.7586517
1984.379703,220.5818481
1995.835284,220.3429413
2007.290865,220.1297913
2018.746446,220.1748352
2030.202027,220.1689911
2041.657609,219.7471313
2053.11319,219.7471313
2064.568771,218.8238831
2076.024352,219.0674896
2087.479933,216.8130951
2098.935515,218.2268982
2110.391096,218.4664917
2121.846677,212.6982269
2133.302258,218.3952637
2144.75784,220.1587372
2156.383778,218.8702087
2168.009717,218.8702087
2179.635656,220.7333984
2191.261594,219.9722137
2202.887533,221.382309
2214.513472,219.8140106
2226.13941,219.2191162
2237.765349,219.2191162
2249.391288,220.3552704
2261.017226,219.8469696
2272.643165,224.5278625
2284.269104,223.5410919
2295.895042,226.6248322
2307.520981,224.8764343
2319.14692,229.1818237
2330.772859,232.6697693
2342.398797,229.703537
2354.024736,230.6004333
2365.650675,229.0154877
2377.276613,226.0683289
2388.902552,226.0683289
2400.528491,229.3290405
2412.154429,226.1841583
2423.780368,230.6958466
2435.406307,229.2706299
2447.032245,231.1427307
2458.658184,231.1427307
2470.284123,230.6934814
2481.910062,232.8674927
2493.536,230.0708771
2505.161939,229.1753845
2516.787878,237.0052643
2528.413816,237.0052643
2540.039755,238.0236664
2551.665694,239.1050262
2563.291632,239.1460266
2574.917571,240.3012238
2586.54351,240.3568573
2598.169448,240.9586792
2609.795387,240.9586792
2621.421326,241.4724426
2633.047265,239.1394806
2644.673203,238.4416962
2656.299142,237.8589478
2667.925081,237.8589478
2679.551019,238.3708649
2691.176958,238.2143402
2702.802897,238.4805603
2714.428835,235.375824
2726.054774,232.7471008
2737.680713,232.7471008
2749.306651,229.3903351
2760.93259,228.3461151
2772.558529,226.0754547
2784.184468,228.0129852
2795.810406,224.0118866
2807.436345,225.7448273
2819.062284,225.7448273
2830.688222,228.6541748
2842.314161,229.4702148
2853.9401,231.2202148
2864.207683,230.79422
2874.475267,230.6940765
2884.74285,230.720993
2895.010434,230.720993
2905.278017,231.2279968
2915.545601,231.4822693
2925.813184,230.6904449
2936.080768,230.5937958
2946.348351,231.098587
2956.615935,232.043808
2966.883518,231.9490356
2977.151102,232.8501434
2987.418685,234.7879944
2997.686269,234.7879944
3007.953852,237.4085999
3018.221436,240.2236633
3028.489019,241.9954529
3038.756603,242.7181702
3049.024187,242.7181702
3059.29177,242.1051178
3069.559354,240.0127869
3079.826937,240.453949
3090.094521,240.9583893
3100.362104,240.9583893
3110.629688,241.6464691
3120.897271,242.5601349
3131.164855,243.6938171
3141.432438,243.8043671
3151.700022,244.0671387
3161.967605,244.0671387
3172.235189,245.7073822
3182.502772,245.3981018
3192.770356,245.0131378
3203.037939,240.0483398
3213.305523,240.0483398
3223.573106,237.4425354
3233.84069,235.7802887
3244.108273,234.3853455
3254.375857,232.7015228
3264.64344,232.096817
3274.911024,232.096817
3285.178607,230.63591
3295.446191,232.065918
3305.713774,230.9986572
3315.981358,231.4346161
3326.248942,231.4346161
3336.516525,232.5480804
3346.784109,231.1789856
3357.051692,229.1657104
3367.319276,227.3629913
3377.586859,227.3629913
3387.854443,230.4028015
3398.122026,234.4119263
3408.38961,238.7588348
3418.657193,244.612442
3429.953866,241.5225525
3441.250538,245.9516907
3452.547211,245.4689178
3463.843883,245.757019
3475.140556,245.0480957
3486.437229,245.0480957
3497.733901,251.899765
3509.030574,250.5825195
3520.327246,251.472702
3531.623919,249.5300903
3542.920591,248.9979553
3554.217264,250.5296783
3565.513937,253.7774506
3576.810609,254.9849548
3588.107282,253.9526215
3599.403954,252.8932648
3610.700627,252.4745636
3621.997299,252.2026825
3633.293972,252.2026825
3644.590645,251.2689362
3655.887317,250.8929749
3667.18399,250.7008972
3678.480662,250.1099701
3689.777335,251.5330811
3701.074007,251.5330811
3712.37068,250.980072
3723.667353,250.9922333
3734.964025,250.488678
3746.260698,250.9476318
3757.55737,251.1751556
3768.854043,251.1751556
3780.150715,250.8937378
3791.447388,247.2398682
3802.744061,242.1315308
3814.040733,238.8598175
3825.337406,234.7183228
3836.634078,233.6921539
3847.930751,233.6921539
3859.227423,236.6729736
3870.524096,242.486908
3881.820768,236.6507721
3893.117441,237.071106
3904.414114,238.6642914
3915.710786,238.6642914
3927.007459,239.8174438
3938.304131,239.0458221
3949.600804,240.4554596
3960.897476,240.3839264
3972.194149,240.1940613
3983.490822,240.1940613
3994.787494,240.0719147
4006.084167,239.9802856
4017.380839,239.7788086
4028.677512,240.7575226
4039.974184,241.3024902
4051.270857,240.7906647
4062.56753,241.9532166
4073.377586,242.1007843
4084.187641,241.5575409
4094.997697,240.9583282
4105.807753,240.5335999
4116.617809,240.9480896
4127.427865,240.7311554
4138.237921,241.0469818
4149.047977,241.0469818
4159.858033,240.6697693
4170.668089,241.9886017
4181.478145,241.6193237
4192.288201,241.1323395
4203.098257,240.2792206
4213.908313,240.793457
4224.718369,241.1095886
4235.528425,240.0676575
4246.338481,236.8879395
4257.148537,234.3287354
4267.958593,231.7575531
4278.768649,242.253006
4289.578705,251.8579865
4300.38876,251.8579865
4310.832346,248.0957184
4321.275932,242.4254761
4331.719518,242.4254761
4342.163103,236.0931244
4352.606689,235.1256561
4363.050275,234.5340271
4373.49386,233.4452362
4383.937446,233.4452362
4394.381032,235.8873291
4404.824617,237.020874
4415.268203,236.3058472
4425.711789,237.6021881
4436.155375,237.8582001
4446.59896,237.7503204
4457.042546,237.7503204
4467.486132,239.4060364
4477.929717,237.6615601
4488.373303,237.7076416
4498.816889,237.3219147
4509.260475,237.1951294
4519.70406,236.0643311
4530.147646,236.0643311
